ID,Section,SkillTested,StimulusPassage,QuestionStem,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Notes
LR-02,Logical Reasoning,Flaw,"Editorial: ""Every study that has found a link between Substance X and health problems was funded by a competitor of the company that manufactures Substance X. Therefore, Substance X is safe.""",The reasoning in the editorial is most vulnerable to criticism on the grounds that it,"presumes, without justification, that the funding source of a study necessarily invalidates its findings.","fails to define what is meant by the term ""safe.""",relies on a sample of studies that is too large to be representative.,confuses a necessary condition for safety with a sufficient one.,attacks the character of the researchers rather than their methodology.,A,Tests recognition of a genetic/ad hominem-style fallacy dressed as a funding-bias argument.
LR-03,Logical Reasoning,Strengthen,Nutritionist: Children who eat breakfast regularly perform better on standardized tests than children who skip breakfast. This shows that eating breakfast improves cognitive performance in children.,"Which of the following, if true, would most strengthen the nutritionist's argument?","In a controlled study, children randomly assigned to eat breakfast scored higher on cognitive tests than a matched group assigned to skip breakfast.",Some children who skip breakfast still perform well on standardized tests.,Breakfast foods marketed to children are often high in sugar.,Schools that serve breakfast report higher attendance rates.,Children who eat breakfast tend to go to bed earlier than those who do not.,A,Tests distinguishing correlation from a genuine strengthener via random assignment (controls for confounds).
LR-04,Logical Reasoning,Parallel Reasoning,"If the museum's new wing is completed on schedule, then attendance will increase next quarter. Attendance did not increase next quarter. Therefore, the new wing was not completed on schedule.",The pattern of reasoning above is most similar to which of the following?,"If the bridge repairs finish by June, traffic delays will decrease. Traffic delays did not decrease. So the bridge repairs did not finish by June.","If the bridge repairs finish by June, traffic delays will decrease. The bridge repairs finished by June. So traffic delays decreased.","If the bridge repairs finish by June, traffic delays will decrease. Traffic delays decreased. So the bridge repairs finished by June.","The bridge repairs will finish by June only if funding is approved. Funding was approved, so the repairs will finish by June.","Either the bridge repairs finish by June or traffic delays will increase. The repairs did not finish by June, so delays increased.",A,Tests modus tollens recognition among distractors that commit affirming-the-consequent.
LR-05,Logical Reasoning,Resolve the Paradox,"In the past decade, the number of registered beekeepers in the region has more than doubled. Yet the total regional honey production has remained essentially flat.","Which of the following, if true, most helps to explain the discrepancy described above?",Most of the new beekeepers keep only one or two hives as a hobby and harvest little or no honey for sale.,The price of honey has risen faster than the rate of inflation over the past decade.,Beekeeping courses have become more widely available at community colleges.,Several long-established commercial beekeeping operations closed during the decade.,Imported honey now accounts for a larger share of the regional market.,A,Tests identifying the option that reconciles rising input (beekeepers) with flat output (production).
AR-01,Analytical Reasoning,Sequencing,"Six employees—Farid, Gao, Hines, Ibarra, Juno, and Kwan—are scheduled to present at a conference, one at a time, in a single line of six presentation slots numbered 1 through 6, from earliest to latest. The following constraints apply: Gao presents at some time before Hines. Ibarra presents immediately before or immediately after Juno. Kwan does not present first or last. Farid presents either first or last.","If Kwan presents third and Gao presents second, which one of the following could be true?",Farid presents first.,Hines presents second.,Ibarra presents first.,Juno presents sixth and Ibarra presents fifth.,Gao presents fourth.,A,Standard LSAT-style sequencing game with conditional sub-question; solvable via constraint elimination.
AR-02,Analytical Reasoning,Grouping,"A law firm is assigning exactly four of seven associates—Reyes, Singh, Toure, Uma, Vance, Wu, and Yang—to a single new case team. The following conditions govern the assignment: If Reyes is assigned, then Singh is also assigned. Toure and Uma cannot both be assigned. Exactly one of Vance or Wu is assigned. Yang is assigned only if Toure is assigned.",Which one of the following could be a complete and accurate list of the associates assigned to the case team?,"Reyes, Singh, Toure, Vance","Reyes, Singh, Uma, Yang","Toure, Uma, Vance, Wu","Singh, Toure, Uma, Yang","Reyes, Toure, Vance, Wu",A,Grouping game requiring simultaneous conditional and biconditional-style constraint checking.
AR-03,Analytical Reasoning,Distribution,"A researcher must distribute exactly nine samples—three each of types P, Q, and R—among three labs: Lab 1, Lab 2, and Lab 3, so that each lab receives exactly three samples. No lab may receive more than one sample of the same type. Lab 1 receives at least one P sample. Lab 2 receives no R samples.","If Lab 3 receives exactly one sample of each type, which one of the following must be true?",Lab 2 receives a P sample.,Lab 1 receives an R sample.,Lab 2 receives two Q samples.,Lab 1 receives a Q sample.,Lab 3 receives the same number of P samples as Lab 1.,A,Distribution game; tests whether student can derive forced placements from remaining-count constraints.
AR-04,Analytical Reasoning,Conditional (In/Out),"A gallery is selecting works for an exhibit from among eight artists: Bell, Cruz, Diallo, Espinoza, Farrow, Grant, Han, and Ito. Selections must satisfy: If Bell is selected, then Cruz is not selected. Either Diallo or Espinoza is selected, but not both. If Farrow is not selected, then Grant is selected. Han is selected if and only if Ito is selected.","If Cruz and Grant are both selected, which one of the following CANNOT be true?",Bell is selected.,Diallo is selected.,Espinoza is selected.,Han and Ito are both selected.,Farrow is not selected.,A,Tests translation of conditional/biconditional rules into a truth-table-style elimination.
AR-05,Analytical Reasoning,Matching,"Four interns—Ng, Ochoa, Patel, and Quinn—are each assigned to exactly one of three departments—Marketing, Legal, or Finance—and each department is assigned at least one intern. Ng and Ochoa are not assigned to the same department. Patel is assigned to Legal. If Quinn is assigned to Marketing, then Ng is assigned to Finance.","Which one of the following is a complete and accurate list of departments that could be assigned zero, one, or two interns consistent with the rules, if Ochoa is assigned to Finance?",Marketing could have one or two interns; Finance could have one or two interns; Legal has exactly one intern.,Marketing must have exactly two interns.,Finance must have exactly two interns.,Legal could have zero interns.,Marketing must have zero interns.,A,Matching/grouping hybrid; tests careful bookkeeping of a small combinatorial space.
RC-01,Reading Comprehension,Main Point,"Legal scholars have long debated whether appellate courts should defer to trial courts' factual findings or review them independently. Proponents of deference argue that trial judges and juries directly observe witness testimony and are therefore better positioned to assess credibility than appellate judges working from a written transcript. Critics counter that deference can entrench erroneous findings, particularly in cases involving complex documentary or statistical evidence where demeanor is largely irrelevant to accuracy. Some scholars propose a middle path: a sliding scale of deference calibrated to the type of evidence at issue, with greater deference for credibility-based findings and less for findings derived primarily from documents or expert reports.",Which one of the following most accurately expresses the main point of the passage?,"Scholars disagree about how much deference appellate courts owe trial courts' factual findings, and some suggest the degree of deference should vary with the type of evidence involved.",Appellate courts should always defer to trial courts because trial judges observe witness demeanor directly.,Deference to trial court findings inevitably entrenches factual errors in complex cases.,Documentary and statistical evidence should never be reviewed independently by appellate courts.,The debate over appellate deference has been definitively resolved in favor of a sliding-scale approach.,A,Tests extraction of overall thesis from a passage presenting multiple competing scholarly positions.
